ID,State,Date,Day_of_Week,Time_of_Day,Weather_Conditions,Road_Conditions,Light_Conditions,Type_of_Road,Type_of_Junction,Type_of_Accident,Vehicle_Type,Driver_Age_Group,Num_Vehicles_Involved,Num_Casualties,Speed_Limit,Distance_to_Nearest_Hospital,Distance_to_Nearest_Police_Station,Visibility,Road_Width,Road_Surface_Friction_Coefficient,Vehicle_Speed,Time_Taken_for_Emergency_Response,New_Weather_Condition,New_Road_Condition,New_Driver_Age_Group
165468,Tennessee,29/1/2024 13:49,Wednesday,15:31:07,Rainy,Icy,0,Urban,Intersection,Rollover,Bicycle,Young Adult,3,2,51,9.681318444,1.471015577,425.3871437,4.505865571,0.390126493,60,10.82286803,1,1,1
165469,Maryland,31/1/2024 19:36,Thursday,20:27:31,Stormy,Wet,0,Street,T-Junction,Rear-end collision,Motorcycle,Teenager,4,3,48,8.861032502,3.33441406,232.8201579,3.206607456,0.968821885,95,9.144000018,1,1,1
165470,Mississippi,25/2/2024 0:12,Monday,20:23:26,Snowy,Wet,0,Street,Overpass,Pedestrian involved,Truck,Teenager,4,1,61,1.635400193,2.015206625,772.5010541,5.107377285,0.69278255,49,25.9014472,1,1,1
165471,Hawaii,13/1/2024 17:00,Monday,21:50:44,Stormy,Wet,0,Highway,Intersection,Rollover,Motorcycle,Senior,4,3,58,9.170899192,0.743150771,511.3588314,7.159819936,0.519232061,88,14.66676311,1,1,0
165472,West Virginia,28/2/2024 17:18,Wednesday,12:38:51,Sunny,Dry,1,Freeway,T-Junction,Rear-end collision,Truck,Young Adult,1,1,35,1.771382733,0.674459589,488.4007844,3.353020989,0.802147691,59,8.158545782,0,0,1
165473,Kansas,6/2/2024 1:26,Saturday,12:46:32,Stormy,Snowy,1,Urban,Overpass,Rollover,Bicycle,Teenager,1,0,60,1.984019746,9.132044021,402.9131784,5.373256026,0.14004584,77,19.25101889,1,1,1
165474,South Carolina,26/2/2024 14:31,Monday,2:10:53,Sunny,Muddy,1,Freeway,Roundabout,Cyclist involved,Motorcycle,Young Adult,5,0,30,1.349304041,5.756542455,825.046087,6.994510261,0.350653399,42,17.7715757,0,1,1
165475,Georgia,20/2/2024 16:40,Tuesday,21:38:58,Rainy,Icy,1,Street,NA,Side collision,Truck,Senior,1,3,48,7.185300682,4.777826327,592.2312636,NA,0.608795468,66,17.7715757,1,1,0
165476,Connecticut,26/2/2024 5:33,Thursday,19:15:56,Snowy,Dry,0,Highway,Crossroads,Cyclist involved,Motorcycle,Senior,5,2,63,3.535856197,4.983632191,739.5098194,3.111648021,0.883728362,56,26.70192399,1,0,0
165477,Florida,23/2/2024 16:32,Thursday,5:01:40,Foggy,Wet,0,Highway,Intersection,Rear-end collision,Car,Senior,2,2,50,7.438358301,9.772346174,498.9279207,6.854176601,0.128170663,76,25.27128353,1,1,0
165478,Florida,8/1/2024 21:53,Tuesday,12:32:29,Stormy,Wet,1,Rural,Crossroads,Pedestrian involved,Bicycle,Young Adult,1,1,30,3.733968215,3.553210725,866.2042225,3.577765073,0.633252535,71,9.875886016,1,1,1
165479,Colorado,11/1/2024 13:09,Friday,23:30:51,Snowy,Muddy,0,Highway,T-Junction,Pedestrian involved,Bicycle,Senior,1,2,59,6.273264428,9.614786442,530.0046939,NA,0.522477135,95,28.97506295,1,1,0
165480,Connecticut,17/2/2024 14:52,Monday,4:17:59,Rainy,Icy,1,Urban,Roundabout,Pedestrian involved,Pedestrian,Senior,2,3,61,4.539553318,7.665590892,242.7708746,8.790571811,0.67937101,79,14.09805426,1,1,0
165481,Washington,29/1/2024 4:12,Wednesday,21:03:26,Rainy,Dry,0,Rural,Roundabout,Rear-end collision,Motorcycle,Senior,4,0,65,9.776050198,8.128948039,337.365333,9.701662051,0.264389035,67,6.751993118,1,0,0
165482,Hawaii,19/1/2024 2:08,Friday,20:50:17,Stormy,Icy,0,Street,Overpass,Head-on collision,Motorcycle,Adult,3,3,62,1.083707454,7.668953309,654.6885301,8.576086852,0.788828905,11,13.10374567,1,1,0
165483,Kansas,14/1/2024 23:06,Thursday,16:14:37,Foggy,Icy,1,Urban,Overpass,Run-off-road,Car,Teenager,3,0,68,0.490856109,2.594393528,852.6070206,5.359907425,0.753352265,93,21.6657448,1,1,1
165484,Massachusetts,2/1/2024 2:01,Monday,13:05:26,Sunny,Muddy,0,Freeway,NA,Rear-end collision,Car,Senior,4,3,31,2.987192811,2.920483263,381.1526138,8.626619848,0.901663277,49,26.0310138,0,1,0
165485,Massachusetts,22/1/2024 2:04,Sunday,13:30:00,Sunny,Dry,1,Urban,Roundabout,Rollover,Car,Teenager,2,2,58,7.762099439,1.596337086,953.8205561,5.041127229,0.813357016,32,10.57941406,0,0,1
165486,Vermont,8/1/2024 14:40,Monday,9:45:18,Foggy,Snowy,0,Rural,T-Junction,Run-off-road,Truck,Adult,4,3,56,5.160183573,1.103875786,992.7274241,6.572175094,0.964274234,67,29.87734336,1,1,0
165487,Idaho,12/2/2024 6:00,Sunday,20:05:47,Rainy,Muddy,0,Freeway,T-Junction,Cyclist involved,Pedestrian,Adult,5,2,50,2.588331586,5.457915297,412.7140148,5.456640344,0.195826559,37,22.26196033,1,1,0
165488,West Virginia,16/2/2024 14:07,Thursday,0:32:53,Foggy,Icy,0,Rural,T-Junction,Run-off-road,Pedestrian,Senior,3,3,30,2.789676866,2.113591875,740.7666858,7.023614254,0.623532249,8,18.79808746,1,1,0
165489,Oregon,3/1/2024 12:21,Monday,3:18:00,Rainy,Dry,0,Highway,Roundabout,Side collision,Car,Teenager,5,0,54,2.769710971,0.40388692,676.0140232,8.659745734,0.424146486,37,17.7715757,1,0,1
165490,Missouri,27/2/2024 0:42,Friday,21:31:02,Foggy,Wet,0,Urban,T-Junction,Head-on collision,Car,Teenager,2,2,58,5.044230084,4.799590998,325.7767114,4.690718774,0.137522833,30,14.81084104,1,1,1
165491,Alaska,1/1/2024 21:27,Sunday,1:06:34,Stormy,Wet,1,Freeway,Intersection,Run-off-road,Bicycle,Senior,2,2,35,6.014917139,8.223628598,461.4476903,4.413938451,0.597469437,41,16.73634858,1,1,0
165492,Texas,7/2/2024 15:08,Friday,6:26:32,Rainy,Dry,0,Freeway,Roundabout,Rollover,Pedestrian,Young Adult,3,2,31,9.617824609,8.726292282,290.5756264,8.133402319,0.983962477,22,7.585836723,1,0,1
165493,Maryland,5/1/2024 18:20,Tuesday,9:00:59,Rainy,Icy,1,Urban,Crossroads,Pedestrian involved,Motorcycle,Adult,2,0,51,7.882792398,1.534167693,103.7757022,5.57674111,0.449891227,3,29.02275244,1,1,0
165494,Oklahoma,12/2/2024 19:52,Friday,9:52:53,Stormy,Icy,1,Highway,Roundabout,Side collision,Motorcycle,Adult,2,1,51,1.385620818,7.739611461,638.9141705,9.857583089,0.216833138,37,17.39968212,1,1,0
165495,Iowa,21/1/2024 4:00,Thursday,9:37:06,Sunny,Dry,1,Highway,Underpass,Rear-end collision,Car,Adult,3,2,69,2.190033432,2.516160275,561.7044781,4.505524471,0.831729754,97,13.3329181,0,0,0
165496,California,20/2/2024 17:51,Saturday,20:25:01,Foggy,Dry,0,Rural,Crossroads,Cyclist involved,Car,Adult,3,1,50,4.28575454,2.378741506,161.1351424,3.78592892,0.812878666,17,9.833310583,1,0,0
165497,New Jersey,9/1/2024 13:28,Wednesday,13:18:38,Sunny,Dry,0,Freeway,Underpass,Cyclist involved,Motorcycle,Young Adult,2,1,53,9.299299875,5.644877129,674.4500119,3.289475388,0.600155499,1,13.2664793,0,0,1
165498,South Dakota,29/1/2024 7:02,Thursday,2:09:37,Stormy,Dry,0,Street,Overpass,Side collision,Motorcycle,Adult,3,1,49,1.158822298,6.461111448,537.3488462,5.91046806,0.34836154,29,18.99480483,1,0,0
165499,Hawaii,9/2/2024 21:01,Wednesday,5:44:04,Stormy,Icy,1,Freeway,NA,Rear-end collision,Motorcycle,Adult,2,3,49,9.701770163,0.230519322,780.7517659,8.527477872,0.291313778,49,27.86733525,1,1,0
165500,Georgia,31/1/2024 3:50,Wednesday,20:33:21,Foggy,Muddy,0,Street,Overpass,Cyclist involved,Truck,Teenager,1,0,65,3.982682622,4.578181952,280.5431561,5.034720633,0.348117049,49,10.02149681,1,1,1
165501,Hawaii,1/1/2024 20:36,Tuesday,6:13:18,Stormy,Icy,0,Freeway,T-Junction,Cyclist involved,Motorcycle,Adult,4,0,56,7.268690355,7.273092887,456.9481743,7.531804194,0.353318065,19,14.33066433,1,1,0
165502,Maryland,1/2/2024 2:50,Wednesday,0:22:59,Snowy,Snowy,1,Freeway,Roundabout,Side collision,Pedestrian,Adult,1,1,50,0.621178833,7.510937626,954.9081632,7.372368858,0.591059955,49,18.46721759,1,1,0
165503,Maine,26/2/2024 8:28,Tuesday,13:05:24,Stormy,Wet,1,Highway,Crossroads,Cyclist involved,Pedestrian,Senior,5,0,46,0.690196223,3.559934492,840.9216106,8.401260945,0.621394742,82,25.296957,1,1,0
165504,Ohio,11/1/2024 22:54,Wednesday,6:56:48,Snowy,Dry,1,Urban,Intersection,Cyclist involved,Pedestrian,Senior,1,2,58,1.974323987,0.721954281,862.0044925,4.983628894,0.762576729,67,5.251636937,1,0,0
165505,Virginia,4/2/2024 13:10,Sunday,16:55:16,Rainy,Snowy,0,Rural,Intersection,Run-off-road,Motorcycle,Senior,4,1,68,9.403687881,9.119720495,258.7049916,8.462101324,0.766980551,81,17.7715757,1,1,0
165506,Virginia,1/2/2024 10:58,Thursday,15:26:15,Sunny,Snowy,0,Rural,Overpass,Run-off-road,Motorcycle,Adult,3,1,56,1.716646169,2.579442636,981.4258181,5.134839855,0.543735468,0,17.7715757,0,1,0
165507,Oklahoma,26/2/2024 22:42,Tuesday,3:21:17,Foggy,Dry,1,Highway,Intersection,Head-on collision,Car,Adult,1,3,30,7.616930623,8.254259512,741.729943,3.845190442,0.734130697,49,11.94667689,1,0,0
165508,Pennsylvania,12/1/2024 2:22,Tuesday,2:30:08,Foggy,Muddy,1,Highway,Roundabout,Side collision,Truck,Adult,1,0,69,0.428889374,5.752713375,141.6588308,NA,0.658345608,44,8.630441823,1,1,0
165509,Tennessee,21/1/2024 14:55,Saturday,4:38:04,Stormy,Dry,0,Rural,Underpass,Side collision,Pedestrian,Teenager,4,3,55,1.88175118,5.53570464,549.8223801,9.548180793,0.818553661,96,28.45430479,1,0,1
165510,North Dakota,8/1/2024 7:55,Saturday,5:48:03,Sunny,Dry,0,Freeway,Overpass,Rollover,Motorcycle,Senior,5,3,45,3.403464449,6.368924198,686.4616431,NA,0.357266295,52,5.31340657,0,0,0
165511,Arizona,21/2/2024 14:19,Thursday,23:15:43,Rainy,Dry,0,Highway,T-Junction,Head-on collision,Motorcycle,Young Adult,5,1,66,0.381564964,2.409900173,754.4184999,7.820540645,0.213017522,20,9.721609808,1,0,1
165512,Georgia,17/2/2024 2:16,Wednesday,7:32:40,Snowy,Snowy,1,Rural,NA,Side collision,Pedestrian,Teenager,4,2,39,7.145168069,9.727447602,843.8422441,6.167347028,0.692664193,87,18.31579042,1,1,1
165513,South Dakota,25/1/2024 22:10,Tuesday,5:44:43,Snowy,Muddy,0,Rural,Crossroads,Side collision,Pedestrian,Teenager,2,1,58,7.005291076,9.121160179,166.1221074,3.687877127,0.641906101,93,23.68455791,1,1,1
165514,Indiana,29/1/2024 13:22,Wednesday,4:28:18,Snowy,Dry,1,Urban,Roundabout,Run-off-road,Pedestrian,Adult,3,0,40,5.94988596,6.595579494,265.1206942,6.444573131,0.313075513,71,17.15484232,1,0,0
165515,California,25/1/2024 22:35,Sunday,21:18:19,Snowy,Icy,0,Freeway,Overpass,Pedestrian involved,Bicycle,Teenager,1,3,55,1.623690219,2.473316382,695.4507213,NA,0.791968166,81,7.222058349,1,1,1
165516,Michigan,21/1/2024 21:39,Thursday,13:05:13,Snowy,Muddy,0,Rural,Crossroads,Side collision,Motorcycle,Adult,4,0,43,2.483851502,5.529709475,666.83489,4.60880947,0.469054438,53,14.5509622,1,1,0
165517,Delaware,5/2/2024 11:19,Tuesday,8:26:45,Rainy,Dry,0,Highway,NA,Rear-end collision,Truck,Adult,4,1,63,8.748099527,4.356590709,889.7077186,7.166643769,0.406449176,93,17.7715757,1,0,0
165518,Arizona,20/1/2024 7:23,Friday,19:02:21,Rainy,Dry,1,Rural,Roundabout,Cyclist involved,Pedestrian,Teenager,1,0,37,7.644920629,6.918704095,670.5677746,8.408559715,0.737313269,89,29.02620983,1,0,1
165519,Texas,22/2/2024 7:41,Monday,12:48:35,Rainy,Dry,0,Urban,Roundabout,Pedestrian involved,Motorcycle,Young Adult,1,3,70,3.511599006,5.595658188,863.53072,7.049043839,0.773430124,62,8.672665083,1,0,1
165520,Arkansas,14/1/2024 21:38,Sunday,16:11:19,Rainy,Icy,1,Highway,T-Junction,Pedestrian involved,Truck,Adult,2,3,39,9.173893516,1.661848306,412.8937063,5.909645384,0.533404015,0,17.7715757,1,1,0
165521,Montana,16/2/2024 22:47,Saturday,14:34:12,Snowy,Snowy,1,Freeway,NA,Run-off-road,Truck,Senior,3,1,58,3.24105727,2.533774447,164.04582,6.599368048,0.189044025,17,15.07747909,1,1,0
165522,West Virginia,19/1/2024 8:10,Friday,0:17:54,Rainy,Muddy,0,Freeway,Roundabout,Rollover,Motorcycle,Teenager,3,2,64,8.558358656,1.461742042,825.9282594,9.564077919,0.819108276,28,26.54601035,1,1,1
165523,South Carolina,22/2/2024 4:09,Friday,12:12:56,Snowy,Icy,1,Rural,Overpass,Rollover,Motorcycle,Senior,4,2,39,5.17304075,3.418013241,820.5434609,9.342291776,0.445751044,89,27.43603407,1,1,0
165524,Utah,20/2/2024 20:29,Sunday,6:40:50,Rainy,Dry,0,Rural,Underpass,Head-on collision,Bicycle,Teenager,4,1,39,7.472774488,4.356685178,766.4054874,7.496066222,0.188107169,60,26.10947038,1,0,1
165525,Alaska,12/1/2024 7:27,Monday,23:16:46,Rainy,Snowy,1,Freeway,T-Junction,Rear-end collision,Truck,Adult,2,2,33,5.11223712,3.197563076,161.6676603,3.087748231,0.830240687,17,17.7715757,1,1,0
165526,West Virginia,16/1/2024 14:11,Tuesday,20:58:09,Snowy,Wet,0,Urban,T-Junction,Cyclist involved,Car,Senior,2,2,37,1.756702834,5.42196679,827.7043094,NA,0.14789909,86,19.85024611,1,1,0
165527,South Dakota,20/1/2024 19:12,Tuesday,18:01:47,Snowy,Icy,0,Highway,T-Junction,Side collision,Bicycle,Senior,1,2,59,9.044280808,0.864832105,322.0150603,6.524325475,0.669271571,83,27.49568638,1,1,0
165528,California,12/2/2024 4:14,Friday,13:29:14,Foggy,Snowy,0,Freeway,Crossroads,Run-off-road,Car,Senior,1,1,63,7.831227942,6.004298341,972.5542508,5.578939719,0.216829621,42,10.82016012,1,1,0
165529,Missouri,16/1/2024 1:22,Tuesday,6:34:08,Rainy,Muddy,1,Freeway,Intersection,Pedestrian involved,Pedestrian,Young Adult,1,1,53,6.774471015,0.978380238,248.8245329,4.203826106,0.901195234,39,21.50076839,1,1,1
165530,Washington,2/1/2024 15:54,Wednesday,15:56:35,Sunny,Icy,1,Rural,T-Junction,Cyclist involved,Motorcycle,Senior,5,1,36,6.026846262,6.302801633,591.8945463,3.361014292,0.682362774,94,27.74687916,0,1,0
165531,North Carolina,16/2/2024 5:58,Wednesday,9:58:54,Snowy,Icy,1,Highway,Roundabout,Cyclist involved,Truck,Young Adult,2,0,55,3.661663884,6.543545576,769.1691048,7.888448352,0.476637498,2,13.1557896,1,1,1
165532,Utah,1/1/2024 15:21,Thursday,16:02:47,Rainy,Dry,0,Highway,Overpass,Cyclist involved,Bicycle,Teenager,5,1,62,9.316241051,9.274530526,739.7280857,7.62165402,0.576516487,78,20.73046688,1,0,1
165533,California,1/2/2024 19:08,Friday,15:03:34,Rainy,Icy,0,Street,NA,Cyclist involved,Pedestrian,Senior,4,0,37,0.138177704,4.486939126,485.6473198,5.707805957,0.569171847,18,19.16796618,1,1,0
165534,California,1/2/2024 15:02,Friday,1:38:36,Snowy,Dry,1,Urban,T-Junction,Head-on collision,Pedestrian,Adult,3,1,39,4.149734748,4.363254417,648.1107102,8.500690049,0.884410615,38,16.70323827,1,0,0
165535,Indiana,21/1/2024 15:50,Tuesday,0:05:59,Foggy,Icy,0,Rural,Overpass,Rear-end collision,Motorcycle,Adult,2,3,62,8.892610206,2.127162729,688.5427429,6.914410082,0.819604429,94,8.552036894,1,1,0
165536,Idaho,11/1/2024 4:01,Saturday,22:26:09,Snowy,Wet,1,Rural,Underpass,Rollover,Bicycle,Teenager,4,1,65,8.544481393,7.940191685,412.8326283,7.53346246,0.686542796,75,22.18413163,1,1,1
165537,South Dakota,8/1/2024 21:24,Wednesday,18:24:02,Sunny,Snowy,1,Highway,Overpass,Rollover,Car,Adult,4,3,50,6.832978925,5.323778008,120.0483575,4.829136605,0.280773198,9,29.18342531,0,1,0
165538,Ohio,23/2/2024 23:12,Tuesday,0:15:53,Sunny,Wet,1,Freeway,Intersection,Run-off-road,Bicycle,Adult,1,1,69,3.761010189,8.894930269,366.8513973,5.106374394,0.421333401,44,20.98721982,0,1,0
165539,Maine,29/1/2024 7:55,Saturday,22:51:05,Rainy,Muddy,0,Highway,T-Junction,Side collision,Motorcycle,Senior,4,0,47,5.085369025,5.839374307,436.1533378,4.741053175,0.284330153,49,8.467497567,1,1,0
165540,Tennessee,18/2/2024 7:49,Wednesday,20:34:43,Stormy,Snowy,0,Street,Intersection,Run-off-road,Pedestrian,Senior,2,1,51,5.266420506,3.515980258,282.1958731,3.79702236,0.3061825,25,15.40032174,1,1,0
165541,Iowa,11/2/2024 17:12,Friday,7:10:59,Stormy,Wet,1,Urban,Intersection,Pedestrian involved,Car,Young Adult,5,0,62,5.185694641,8.185636147,396.344636,3.79983677,0.627855853,56,15.46104845,1,1,1
165542,West Virginia,26/2/2024 2:56,Monday,0:06:12,Stormy,Wet,1,Highway,Underpass,Rear-end collision,Motorcycle,Adult,5,1,48,6.580029805,2.042869498,597.6968202,NA,0.791174319,89,24.87459764,1,1,0
165543,Georgia,27/2/2024 10:46,Monday,8:52:22,Stormy,Icy,0,Highway,Intersection,Cyclist involved,Truck,Senior,5,2,67,8.723685839,8.70548998,796.4015676,9.537236509,0.402866833,7,22.40520149,1,1,0
165544,Virginia,25/2/2024 9:31,Monday,16:19:35,Rainy,Muddy,0,Freeway,Underpass,Head-on collision,Pedestrian,Young Adult,4,3,45,4.954407401,9.89574847,633.7519381,9.98759973,0.594393654,49,27.62739034,1,1,1
165545,Arkansas,10/2/2024 1:32,Tuesday,9:53:28,Stormy,Dry,0,Street,T-Junction,Pedestrian involved,Car,Teenager,4,1,50,1.240542605,9.895824511,431.1094588,8.151356438,0.844411898,27,12.18639082,1,0,1
165546,Indiana,28/1/2024 19:12,Wednesday,1:47:27,Stormy,Wet,0,Urban,Overpass,Side collision,Pedestrian,Young Adult,1,3,66,1.131837523,0.381430458,595.5505833,9.744843544,0.199706511,21,17.7715757,1,1,1
